prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_rf_bal_acc_all1718 series_01 part1,0.609,0.778,0.693,0.651,0.609,14,9,6,21
we_extractor_rf_bal_acc_all1718 series_01 part2,0.636,0.75,0.693,0.651,0.636,14,8,7,21
we_extractor_rf_bal_acc_all1718 series_01 part3,0.455,0.714,0.584,0.5,0.455,10,12,8,20
we_extractor_rf_bal_acc_all1718 series_01 part4,0.273,0.786,0.529,0.353,0.273,6,16,6,22
we_extractor_rf_bal_acc_all1718 series_01 part5,0.364,0.815,0.589,0.457,0.364,8,14,5,22
we_extractor_rf_bal_acc_all1718 series_01 MEAN,0.467,0.769,0.618,0.522,0.467,10.4,11.8,6.4,21.2
we_extractor_rf_bal_acc_all1718 series_02 part1,0.5,0.786,0.643,0.564,0.5,11,11,6,22
we_extractor_rf_bal_acc_all1718 series_02 part2,0.545,0.893,0.719,0.649,0.545,12,10,3,25
we_extractor_rf_bal_acc_all1718 series_02 part3,0.545,0.75,0.648,0.585,0.545,12,10,7,21
we_extractor_rf_bal_acc_all1718 series_02 part4,0.565,0.815,0.69,0.634,0.565,13,10,5,22
we_extractor_rf_bal_acc_all1718 series_02 part5,0.5,0.667,0.583,0.524,0.5,11,11,9,18
we_extractor_rf_bal_acc_all1718 series_02 MEAN,0.531,0.782,0.657,0.591,0.531,11.8,10.4,6.0,21.6
we_extractor_rf_bal_acc_all1718 series_03 part1,0.455,0.821,0.638,0.541,0.455,10,12,5,23
we_extractor_rf_bal_acc_all1718 series_03 part2,0.591,0.75,0.67,0.619,0.591,13,9,7,21
we_extractor_rf_bal_acc_all1718 series_03 part3,0.5,0.786,0.643,0.564,0.5,11,11,6,22
we_extractor_rf_bal_acc_all1718 series_03 part4,0.565,0.741,0.653,0.605,0.565,13,10,7,20
we_extractor_rf_bal_acc_all1718 series_03 part5,0.545,0.704,0.625,0.571,0.545,12,10,8,19
we_extractor_rf_bal_acc_all1718 series_03 MEAN,0.531,0.76,0.646,0.58,0.531,11.8,10.4,6.6,21.0
we_extractor_rf_bal_acc_all1718 series_04 part1,0.682,0.643,0.662,0.638,0.682,15,7,10,18
we_extractor_rf_bal_acc_all1718 series_04 part2,0.545,0.857,0.701,0.632,0.545,12,10,4,24
we_extractor_rf_bal_acc_all1718 series_04 part3,0.591,0.786,0.688,0.634,0.591,13,9,6,22
we_extractor_rf_bal_acc_all1718 series_04 part4,0.478,0.741,0.61,0.537,0.478,11,12,7,20
we_extractor_rf_bal_acc_all1718 series_04 part5,0.636,0.815,0.726,0.683,0.636,14,8,5,22
we_extractor_rf_bal_acc_all1718 series_04 MEAN,0.587,0.768,0.677,0.625,0.587,13.0,9.2,6.4,21.2
we_extractor_rf_bal_acc_all1718 series_05 part1,0.455,0.786,0.62,0.526,0.455,10,12,6,22
we_extractor_rf_bal_acc_all1718 series_05 part2,0.727,0.929,0.828,0.8,0.727,16,6,2,26
we_extractor_rf_bal_acc_all1718 series_05 part3,0.5,0.714,0.607,0.537,0.5,11,11,8,20
we_extractor_rf_bal_acc_all1718 series_05 part4,0.565,0.889,0.727,0.667,0.565,13,10,3,24
we_extractor_rf_bal_acc_all1718 series_05 part5,0.773,0.741,0.757,0.739,0.773,17,5,7,20
we_extractor_rf_bal_acc_all1718 series_05 MEAN,0.604,0.812,0.708,0.654,0.604,13.4,8.8,5.2,22.4
we_extractor_rf_bal_acc_all1718 series_06 part1,0.727,0.929,0.828,0.8,0.727,16,6,2,26
we_extractor_rf_bal_acc_all1718 series_06 part2,0.455,0.857,0.656,0.556,0.455,10,12,4,24
we_extractor_rf_bal_acc_all1718 series_06 part3,0.818,0.857,0.838,0.818,0.818,18,4,4,24
we_extractor_rf_bal_acc_all1718 series_06 part4,0.565,0.852,0.709,0.65,0.565,13,10,4,23
we_extractor_rf_bal_acc_all1718 series_06 part5,0.545,0.852,0.699,0.632,0.545,12,10,4,23
we_extractor_rf_bal_acc_all1718 series_06 MEAN,0.622,0.869,0.746,0.691,0.622,13.8,8.4,3.6,24.0
we_extractor_rf_bal_acc_all1718 series_07 part1,0.826,0.741,0.783,0.776,0.826,19,4,7,20
we_extractor_rf_bal_acc_all1718 series_07 part2,0.636,0.821,0.729,0.683,0.636,14,8,5,23
we_extractor_rf_bal_acc_all1718 series_07 part3,0.591,0.964,0.778,0.722,0.591,13,9,1,27
we_extractor_rf_bal_acc_all1718 series_07 part4,0.773,0.964,0.869,0.85,0.773,17,5,1,27
we_extractor_rf_bal_acc_all1718 series_07 part5,0.545,0.815,0.68,0.615,0.545,12,10,5,22
we_extractor_rf_bal_acc_all1718 series_07 MEAN,0.674,0.861,0.768,0.729,0.674,15.0,7.2,3.8,23.8
we_extractor_rf_bal_acc_all1718 series_08 part1,0.727,1.0,0.864,0.842,0.727,16,6,0,28
we_extractor_rf_bal_acc_all1718 series_08 part2,0.636,0.857,0.747,0.7,0.636,14,8,4,24
we_extractor_rf_bal_acc_all1718 series_08 part3,0.818,0.893,0.856,0.837,0.818,18,4,3,25
we_extractor_rf_bal_acc_all1718 series_08 part4,0.478,0.963,0.721,0.629,0.478,11,12,1,26
we_extractor_rf_bal_acc_all1718 series_08 part5,0.636,0.815,0.726,0.683,0.636,14,8,5,22
we_extractor_rf_bal_acc_all1718 series_08 MEAN,0.659,0.906,0.782,0.738,0.659,14.6,7.6,2.6,25.0
we_extractor_rf_bal_acc_all1718 series_09 part1,0.773,0.964,0.869,0.85,0.773,17,5,1,27
we_extractor_rf_bal_acc_all1718 series_09 part2,0.636,0.857,0.747,0.7,0.636,14,8,4,24
we_extractor_rf_bal_acc_all1718 series_09 part3,0.682,0.964,0.823,0.789,0.682,15,7,1,27
we_extractor_rf_bal_acc_all1718 series_09 part4,0.652,0.852,0.752,0.714,0.652,15,8,4,23
we_extractor_rf_bal_acc_all1718 series_09 part5,0.545,0.852,0.699,0.632,0.545,12,10,4,23
we_extractor_rf_bal_acc_all1718 series_09 MEAN,0.658,0.898,0.778,0.737,0.658,14.6,7.6,2.8,24.8
we_extractor_rf_bal_acc_all1718 series_10 part1,0.545,0.893,0.719,0.649,0.545,12,10,3,25
we_extractor_rf_bal_acc_all1718 series_10 part2,0.682,0.893,0.787,0.75,0.682,15,7,3,25
we_extractor_rf_bal_acc_all1718 series_10 part3,0.727,0.964,0.846,0.821,0.727,16,6,1,27
we_extractor_rf_bal_acc_all1718 series_10 part4,0.565,0.926,0.746,0.684,0.565,13,10,2,25
we_extractor_rf_bal_acc_all1718 series_10 part5,0.727,0.852,0.79,0.762,0.727,16,6,4,23
we_extractor_rf_bal_acc_all1718 series_10 MEAN,0.649,0.906,0.777,0.733,0.649,14.4,7.8,2.6,25.0
we_extractor_rf_bal_acc_all1718 series_11 part1,0.682,0.964,0.823,0.789,0.682,15,7,1,27
we_extractor_rf_bal_acc_all1718 series_11 part2,0.727,1.0,0.864,0.842,0.727,16,6,0,28
we_extractor_rf_bal_acc_all1718 series_11 part3,0.727,0.893,0.81,0.78,0.727,16,6,3,25
we_extractor_rf_bal_acc_all1718 series_11 part4,0.565,0.852,0.709,0.65,0.565,13,10,4,23
we_extractor_rf_bal_acc_all1718 series_11 part5,0.545,1.0,0.773,0.706,0.545,12,10,0,27
we_extractor_rf_bal_acc_all1718 series_11 MEAN,0.649,0.942,0.796,0.754,0.649,14.4,7.8,1.6,26.0
we_extractor_rf_bal_acc_all1718 series_12 part1,0.609,1.0,0.804,0.757,0.609,14,9,0,27
we_extractor_rf_bal_acc_all1718 series_12 part2,0.773,0.929,0.851,0.829,0.773,17,5,2,26
we_extractor_rf_bal_acc_all1718 series_12 part3,0.682,0.893,0.787,0.75,0.682,15,7,3,25
we_extractor_rf_bal_acc_all1718 series_12 part4,0.591,0.964,0.778,0.722,0.591,13,9,1,27
we_extractor_rf_bal_acc_all1718 series_12 part5,0.909,0.963,0.936,0.93,0.909,20,2,1,26
we_extractor_rf_bal_acc_all1718 series_12 MEAN,0.713,0.95,0.831,0.798,0.713,15.8,6.4,1.4,26.2
